"SchemaIdentifier","SchemaMajorVersion","SchemaMajorVersionDate","SchemaLabel","SchemaDescription","SchemaTemplateId","SchemaMinorVersions","SchemaMinorVersionDates","SchemaMinorVersionDescriptions","SchemaRequirementIdentifier","SchemaRequirementOrder","SchemaRequirementLabel","SchemaRequirementMandatory","SchemaRequirementDescription","SchemaRequirementMinOccurances","SchemaRequirementMaxOccurances","SchemaRequirementNote","SchemaRequirementFieldIdentifier","SchemaRequirementFieldOrder","SchemaRequirementFieldDescription","SchemaRequirementFieldMandatory","SchemaRequirementFieldMinOccurances","SchemaRequirementFieldMaxOccurances","SchemaRequirementFieldHelp","FieldIdentifier","FieldLabel","FieldType","FieldDescription","FieldPattern","FieldURIStubs"
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","PublicationDate","1","Publication date","True","Data publication date and NOT the date of the election.  If any data items are revised afterwards, then this publication date is also revised to reflect the later date of revised publication.","1","1","","PublicationDate","1","","True","1","1","","PublicationDate","Publication date","Date","Date data was last published","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","Organisation","2","Organisation","True","The organisation that organised the election","1","1","","OrganisationURI","1","","True","1","1","","OrganisationURI","Organisation URI","URI","Full URI that identifies the organisation Eg http://opendatacommunities.org/id/county-council/kent","","http://opendatacommunities.org/id/"
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","Organisation","2","Organisation","True","The organisation that organised the election","1","1","","OrganisationLabel","2","","True","1","1","","OrganisationLabel","Organisation name","String","Name of organisation","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ServiceType","3","Service type","True","The Local Government Service List (LGSL), service that corresponds with election results","1","1","","ServiceTypeURI","1","","True","1","1","","ServiceTypeURI","Service type URI","URI","Service URI from http://id.esd.org.uk/list/services. For Election results, this must be http://id.esd.org.uk/service/721.","(http://id.esd.org.uk/service/721)","http://id.esd.org.uk/service/"
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ServiceType","3","Service type","True","The Local Government Service List (LGSL), service that corresponds with election results","1","1","","ServiceTypeLabel","2","Service type","True","1","1","","ServiceTypeLabel","Service type label","String","Normally ""Election results""","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ElectionDate","4","Election date","True","Date the election held","1","1","","ElectionDate","1","","True","1","1","","ElectionDate","Election date","Date","Election date","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","TypeOfElection","5","Type of election","True","Parish, DistrictAndBorough, County, Mayoral, NationalParliamentary or EuropeanParliamentary","1","1","","TypeOfElection","1","Type of election","True","1","1","","TypeOfElection","Type of Election","String","Parish, ParishByElection, DistrictAndBorough, DistrictAndBoroughByElection, County, CountyByElection, Parliamentary or ParliamentaryByElection","(Parish|ParishByElection|DistrictAndBorough|DistrictAndBoroughByElection|County|CountyByElection|Parliamentary|ParliamentaryByElection)",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ElectedBody","6","Elected body","True","The democratic body to which the candidate is seeking election","1","1","No URI set identified. Consider http://data.ordnancesurvey.co.uk/ontology/admingeo/","ElectedBodyURI","1","","True","1","1","","ElectedBodyURI","Elected body URI","URI","Full URI that identifies the elected body","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ElectedBody","6","Elected body","True","The democratic body to which the candidate is seeking election","1","1","No URI set identified. Consider http://data.ordnancesurvey.co.uk/ontology/admingeo/","ElectedBodyLabel","2","Elected body","True","1","1","","ElectedBodyLabel","Elected body name","String","Name of elected body","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ElectoralArea","7","Electoral area","True","The electoral unit to which the candidate is seeking election","1","1","","ElectoralAreaURI","1","Electoral area full URI ""http://statistics.data.gov.uk/id/statistical-geography/E05000633""","True","1","1","","ElectoralAreaURI","Electoral area URI","URI","Full URI that identifies the electoral area, eg http://statistics.data.gov.uk/id/statistical-geography/E10000016 for Kent","","http://statistics.data.gov.uk/id/statistical-geography/"
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","ElectoralArea","7","Electoral area","True","The electoral unit to which the candidate is seeking election","1","1","","ElectoralAreaLabel","2","Electoral area name EG ""Churchill"" ward","True","1","1","","ElectoralAreaLabel","Electoral area name","String","Name of the electoral area","",""
"ElectionResults","1","03/11/2016","Election results","Format for publishing candidates and results for first part the post elections","Plain","00","13/02/2017","Support team tweaks to pass data","Candidate","8","Candidate","True","Details of the candidate","1","1","","CandidateSurname","1","Candidate surname","True","1","1","","CandidateSurname","Candidate surname","String","Candidate surname in the same format that is adopted by the returning officer on the published elections results notice","",""
