ExtractDate,PublisherURI,PublisherLabel,OrganisationURI,OrganisationLabel,CaseReference,CaseURL,CaseDate,ServiceTypeURI,ServiceTypeLabel,ClassificationURI,ClassificationLabel,CaseText,LocationText,DecisionTargetDate,Status,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,DecisionDate,Decision,DecisionType,DecisionNoticeDate,AppealRef,AppealDecisionDate,AppealDecision,GeoAreaURI,GeoAreaLabel,GroundArea,UPRN,Agent,PublicConsultationStartDate,PublicConsultationEndDate,ResponsesFor,ResponsesAgainst
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/00858/HCC3S,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15475,10/04/2013,http://id.esd.org.uk/service/487,FUL,http://opendatacommunities.org/def/concept/planning/application/6000/6027|http://opendatacommunities.org/def/concept/planning/application/6000/6012,Other County Matter|MIN,Demolition of Temporary Building and Proposed Permanent Classroom Extension,"Rownhams St Johns C of E Primary School, Bakers Drove, Rownhams Southampton SO16 8AD",05/06/2013,Decided,OSGB36,438344,116519,,09/08/2013,Approve,Delegated,13/08/2013,,,,,Romsey Extra,410,,,,20/05/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/00822/HCCRG3,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15480,09/04/2013,http://id.esd.org.uk/service/487,FUL,http://opendatacommunities.org/def/concept/planning/application/6000/6012,MIN,New 30 place pre-school building to replace existing,"Tavistock County Infant School, Broadacres, Fleet Hampshire GU51 4EB",04/06/2013,Decided,OSGB36,479853,153638,,04/06/2013,Approve,Delegated,04/06/2013,,,,,Fleet,0.08,,,,01/05/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/00906/CMA,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15507,24/04/2013,http://id.esd.org.uk/service/1735,VAR,http://opendatacommunities.org/def/concept/planning/application/6000/6023|http://opendatacommunities.org/def/concept/planning/application/6000/6006 ,Other Waste|MAJ,Variation of condition 12 of planning permission 12/01087/CM (to allow supply to other destinations),"New Farm, Froyle Lane, South Warnborough, Hook RG29 1SH",19/06/2013,Decided,OSGB36,472498,145517,,12/06/2013,Approve,Delegated,13/06/2013,,,,,Odiham,20696,,,,27/05/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/00946/HCCRG3,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15510,29/04/2013,http://id.esd.org.uk/service/487,FUL,,,Provision of two classroom modular temporary building to provide accommodation for increased pupil numbers,"All Saints C of E Junior School, Leawood Road, Fleet Hampshire GU51 5AJ",24/06/2013,Decided,OSGB36,479912,153498,,21/06/2013,Approve,Delegated,24/06/2013,,,,,Fleet,154,,,,29/05/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/01127/HCCRG3,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15525,22/05/2013,http://id.esd.org.uk/service/487,FUL,,,3 Classroom and Learning Resource Area extension and removal of 3 modular classrooms,"Tavistock County Infant School, Broadacres, Fleet Hampshire GU51 4EB",17/07/2013,Decided,OSGB36,479826,153625,,20/08/2013,Approve,Delegated,21/08/2013,,,,,Fleet,1.16,,,,11/12/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/01142/CMA,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15535,22/05/2013,http://id.esd.org.uk/service/487,FUL,http://opendatacommunities.org/def/concept/planning/application/6000/6012|http://opendatacommunities.org/def/concept/planning/application/6000/6012,Materials Recovery/Recycling (other than|MIN,Modification of picking station and store (retrospective),"Calf Lane, Quarry, Rye Common, Odiham, Hook RG29 1HU",17/07/2013,Decided,OSGB36,477340,149902,,01/11/2013,Approve,Delegated,01/11/2013,,,,,Odiham,110,,,,21/06/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,NMA/2013/0233,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15596,26/06/2013,http://id.esd.org.uk/service/1739,NMA,http://opendatacommunities.org/def/concept/planning/application/6000/6012,MIN,Minor plant modification ot include a sand processing unit to the existing plant,"Rookery Farm Aggregate Reycling Facility, Botley Road, Swanwick SO31 1LB",24/07/2013,Decided,,,,,16/07/2013,Approve,Delegated,17/07/2013,,,,,,,,,,30/07/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/01646/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15616,15/07/2013,http://id.esd.org.uk/service/487,FUL,,,Construction of an open top below ground earth dirty water storage lagoon,"Meadow Farm House, Kings Worthy, Winchester SO21 1AB",09/09/2013,Decided,OSGB36,449757,133930,,23/09/2013,Approve,Delegated,23/09/2013,,,,,Itchen Valley,37.53,,,,21/08/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/01766/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15634,06/08/2013,http://id.esd.org.uk/service/487,FUL,http://opendatacommunities.org/def/concept/planning/application/6000/6006|http://opendatacommunities.org/def/concept/planning/application/6000/6006 ,Scrap Yards|MAJ,Erection of metal clad shed used for the recovery of waste oils from end of life vehicles - referred to as a de-pollution shed (retrospective),"Dase Engineering, Garfield Road, Bishops Waltham, Hampshire SO32 1AT",01/10/2013,Decided,OSGB36,455248,117912,,06/11/2013,Approve,Delegated,06/11/2013,,,,,Bishops Waltham,0.12,,,,24/09/2013,,
01/06/2014,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,http://opendatacommunities.org/id/county-council/hampshire,Hampshire County Council,13/10972,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=15638,25/07/2013,http://id.esd.org.uk/service/487,FUL,http://opendatacommunities.org/def/concept/planning/application/6000/6006|http://opendatacommunities.org/def/concept/planning/application/6000/6006 ,Composting|MAJ,"Variation of conditions 2, 5 and 6 of planning permission no 12/98401 regarding operating capacity, traffic movements and days of operation;  part proposed and part retrospective permanent extension to the site operational area for use as  green waste processing and composting.","Newbourne Farm, Rockbourne, Fordingbridge SP6 3NT",19/09/2013,Decided,OSGB36,410827,118602,,20/11/2013,Approve,Committee,26/11/2013,,,,,Fordingbridge,1.3,,,,25/03/2014,,
