ExtractDate,OrganisationURI,OrganisationLabel,CaseReference,CaseDate,ServiceTypeURI,ServiceTypeLabel,PremisesName,LocationText,Postcode,EntertainmentTypeURI,EntertainmentTypeLabel,LateNightRefreshment,AlcoholSupply,OpeningHours,StatusURI,StatusLabel,LicenceStartDate,LicenceEndDate,OnPremisesAlcoholSale,OffPremisesAlcoholSale,LicenceHolder,LicenceHolderAddress,LicenceHolderPostcode,ApplicantTypeURI,ApplicantTypeLabel,DesignatedPremisesSupervisor,SupervisorLicenceNo,SupervisorAddress,SupervisorPostcode,Conditions,DecisionDate,DecidedBy,LicenceURL,UPRN,GeoPointLicensingURL
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,55818,01/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Nottingham Trent University,Burton Street Nottingham,NG1 4BT,,Plays|Films|Indoor sporting events|Boxing or wrestling|Recorded music|Performances of dance|Similar to music or dance,true,true,m-su 0800-0230,,Approved,01/02/2010,,true,false,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,35992,02/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Amigos Pizza,357 Derby Road Lenton Nottingham,NG7 2DZ,,,true,false,su-th 1700-0100  fs 1700-0200,,Approved,02/02/2010,,false,false,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,35809,03/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Off Licence  KS News,176 Broxtowe Lane Nottingham,NG8 5NG,,,false,true,m-s 0500-2300  su 0500-2230,,Approved,03/02/2010,,false,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,59468,04/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Off Licence  Stop n Shop,21 Larkdale Street Radford Nottingham,NG7 4FZ,,,true,true,m-su 08.00-22.00,,Approved,04/02/2010,,false,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,54364,05/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Beaumont Street Community Centre,Beaumont Street Sneinton Nottingham,NG2 4PJ,,Plays|Films|Indoor sporting events|Boxing or wrestling|Live music|Recorded music|Performances of dance|Similar to music or dance,true,false,m-su 08.00-23.00,,Approved,05/02/2010,,false,false,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,43556,06/01/2010,http://id.esd.org.uk/service/860,Premises  licence,D H Lawrence Pavilion,University of Nottingham University Boulevard Nottingham,NG7 2RD,,Plays|Films|Boxing or wrestling|Recorded music|Performances of dance|Similar to music or dance,true,true,m-sa 09.00-01.30 su 12.00-00.30,,Approved,06/02/2010,,true,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,54852,07/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Off Licence  Uni Express,1b Talbot Street Nottingham,NG1 5GQ,,,false,true,24 hours,,Approved,07/02/2010,,false,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,35440,08/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Park Inn Nottingham,Mansfield Road Nottingham,NG5 2BT,,Boxing or wrestling|Recorded music|Performances of dance|Similar to music or dance,false,true,Licensee's discretion,,Approved,08/02/2010,,true,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,34961,09/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Beechdale,483 Beechdale Road Bilborough Nottingham,NG8 3FE,,Films|Indoor sporting events|Recorded music|Performances of dance|Similar to music or dance,false,true,su-th 1000-0030 fs1000-0130,,Approved,09/02/2010,,true,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,36676,10/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Colwick Marina Boat Club,Colwick Park River Road Colwick Nottingham,NG2 4BD,,Boxing or wrestling|Recorded music|,true,true,m-su 00.01 - 23.59,,Approved,10/02/2010,,true,false,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,69669,11/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Off Licence  Tesco,19-21 Upper Parliament Street Nottingham,NG1 2AD,,,true,true,0600-2300,,Approved,11/02/2010,,false,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,36143,12/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Le Bistro Pierre,13-17 Milton Street Nottingham,NG1 3EN,,Boxing or wrestling|Recorded music|,true,true,m-su 08.00-01.00,,Approved,12/02/2010,,true,true,,,,,,,,,,,,,,,
25/05/2014,http://opendatacommunities.org/id/county-council/nottinghamshire,Nottinghamshire,36602,13/01/2010,http://id.esd.org.uk/service/860,Premises  licence,Off Licence  Flints Store & Off Licence,8 Ransom Road St Anns Nottingham,NG3 3LJ,,,true,true,m-su 07.00-23.00,,Approved,13/02/2010,,false,true,,,,,,,,,,,,,,,
